Access Type,City,County,Date Opened,Date Updated,Day Confirmation,Day Opening,Day Updated,Ev Connector Types,Ev Network,Ev Pricing,Facility Type,Geocode Status,Last Confirmed Date,Month Confirmation,Month Opening,Month Updated,Renewable Source On Site,Restricted Access,Station Name,Street Address,Year Confirmation,Year Opening,Year Updated,Zip (Final Processed Dataset - Final Processed Dataset.Csv),Dc Fast Count,F1,Latitude,Level1 Count,Level2 Count,Longitude,Number of Vehicles
public,Long Beach,Los Angeles,5/4/2012,2021-03-11 23:22:17+00:00,14,4,11,J1772,Non-Networked,Free,HOTEL,GPS,1/14/2021,1,5,3,unknown,FALSE,Hyatt Regency Long Beach,200 S Pine Ave,2021,2012,2021,90802,0,0,33.7637,0,1,-118.192,2
public,San Fernando,Lake,4/1/2019,2022-10-21 02:17:08+00:00,21,1,21,J1772,EV Connect,unknown,unknown,GPS,10/21/2022,10,4,10,unknown,unknown,Sylmar Station,Village Way Dr,2022,2019,2022,91342,0,1,34.293717,0,4,-118.449219,7
public,Arcadia,Riverside,6/1/2014,2022-08-10 13:32:10+00:00,10,1,10,J1772,POWERFLEX,$0.30 per kWh; $0.45 per kWh from 4pm-9pm,MUNI_GOV,GPS,8/10/2022,8,6,8,unknown,FALSE,Los Angeles County - Arboretum,301 N Baldwin Ave,2022,2014,2022,91007,0,2,34.145528,0,3,-118.050548,22
public,Los Angeles,Orange,4/25/2017,2022-08-10 13:32:10+00:00,10,25,10,J1772,Non-Networked,$1 per hour for first two hours; $3 per hour thereafter,PARKING_GARAGE,200-9,8/10/2022,8,4,8,unknown,FALSE,Helms Bakery Building,8800 Venice Blvd,2022,2017,2022,90034,0,3,34.029971,0,6,-118.385231,95
public,Los Angeles,Monterey,4/25/2017,2022-08-10 13:32:10+00:00,10,25,10,J1772,Non-Networked,$1 per hour for first two hours; $3 per hour thereafter,PARKING_GARAGE,200-9,8/10/2022,8,4,8,unknown,FALSE,Helms Bakery Building,8800 Venice Blvd,2022,2017,2022,90034,0,4,34.029971,0,6,-118.385231,1
public,Ukiah,Los Angeles,5/15/2011,2022-02-10 19:42:29+00:00,12,15,10,J1772,Non-Networked,$10 per session,HOTEL,GPS,10/12/2021,10,5,2,unknown,TRUE,Super 8 - Ukiah,693 S Orchard Ave,2021,2011,2022,95482,0,5,39.1458,0,1,-123.198497,15
public,Cathedral City,Riverside,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,6/9/2020,6,3,3,unknown,FALSE,Palm Springs Nissan,68177 Kyle Rd,2020,2011,2021,92234,1,6,33.78414,0,1,-116.471,2
public,Cerritos,San Bernardino,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Cerritos Nissan,18707 Studebaker Rd,2022,2011,2022,90703,1,7,33.861544,0,1,-118.100471,1
public,Cerritos,Ventura,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Cerritos Nissan,18707 Studebaker Rd,2022,2011,2022,90703,1,8,33.861544,0,1,-118.100471,1
public,Clovis,Yolo,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,GPS,6/9/2020,6,3,3,unknown,FALSE,Lithia Nissan - Clovis,370 W Herndon Ave,2020,2011,2021,93612,0,9,36.836818,0,1,-119.717629,4
public,Concord,Santa Clara,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-8,6/9/2020,6,3,3,unknown,FALSE,Autocom Nissan - Concord,1290 Concord Ave,2020,2011,2021,94520,0,10,37.980192,0,1,-122.050128,16
public,Costa Mesa,San Diego,3/15/2011,2022-06-14 16:24:51+00:00,14,15,14,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,6/14/2022,6,3,6,unknown,FALSE,Orange Coast Nissan,2850 Harbor Blvd,2022,2011,2022,92626,1,11,33.675397,0,2,-117.918684,1
public,Folsom,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,12,38.634132,0,3,-121.204871,1
public,Folsom,Placer,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,13,38.634132,0,3,-121.204871,2
public,Folsom,San Francisco,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,14,38.634132,0,3,-121.204871,6
public,Folsom,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,15,38.634132,0,3,-121.204871,6
public,Fremont,Los Angeles,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,3/7/2022,3,3,3,unknown,FALSE,Premier Nissan of Fremont,5701 Cushing Pkwy,2022,2011,2022,94538,1,16,37.489389,0,2,-121.9576,17
public,Fremont,Marin,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,3/7/2022,3,3,3,unknown,FALSE,Premier Nissan of Fremont,5701 Cushing Pkwy,2022,2011,2022,94538,1,17,37.489389,0,2,-121.9576,3
public,Hayward,San Benito,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,3/7/2022,3,3,3,unknown,FALSE,Hayward Nissan,24644 Mission Blvd,2022,2011,2022,94544,1,18,37.662305,0,2,-122.075178,1
public,Huntington Beach,Riverside,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Surf City Nissan,17331 Beach Blvd,2022,2011,2022,92647,1,19,33.71069,0,2,-117.989861,2
public,Huntington Beach,Santa Clara,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Surf City Nissan,17331 Beach Blvd,2022,2011,2022,92647,1,20,33.71069,0,2,-117.989861,3
public,Irvine,Santa Clara,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,21,33.632505,0,2,-117.723298,16
public,Irvine,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,22,33.632505,0,2,-117.723298,2
public,Irvine,San Diego,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,23,33.632505,0,2,-117.723298,3
public,Irvine,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,24,33.632505,0,2,-117.723298,23
public,Irvine,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,25,33.632505,0,2,-117.723298,3
public,Irvine,Santa Clara,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,unknown,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Nissan of Irvine,32 Auto Center Dr,2022,2011,2022,92618,1,26,33.632505,0,2,-117.723298,2
public,Los Angeles,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Universal City Nissan,3550 Cahuenga Blvd W,2022,2011,2022,90068,1,27,34.133446,0,2,-118.356601,5
public,Merced,San Diego,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Razzari Nissan,1675 Auto Center Dr,2020,2011,2021,95340,0,28,37.305891,0,1,-120.502428,7
public,Napa,Los Angeles,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Napa Nissan,510 Soscol Ave,2020,2011,2021,94559,0,29,38.292706,0,1,-122.277767,1
public,Oceanside,Orange,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Mossy Nissan - Oceanside,3535 College Blvd,2020,2011,2021,92056,1,30,33.181953,0,2,-117.298334,3
public,Oceanside,San Mateo,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Mossy Nissan - Oceanside,3535 College Blvd,2020,2011,2021,92056,1,31,33.181953,0,2,-117.298334,2
public,Oxnard,Riverside,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Team Nissan,1801 Auto Center Dr,2022,2011,2022,93036,1,32,34.22771,0,1,-119.150217,2
public,Petaluma,Placer,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,North Bay Nissan,1250 Auto Center Dr,2022,2011,2022,94952,1,33,38.267202,0,4,-122.665068,3
public,Redwood City,San Diego,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Boardwalk Nissan,1 Bair Island Rd,2020,2011,2021,94063,1,34,37.495963,0,3,-122.227322,19
public,Redwood City,Orange,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Boardwalk Nissan,1 Bair Island Rd,2020,2011,2021,94063,1,35,37.495963,0,3,-122.227322,1
public,Riverside,Los Angeles,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Raceway Nissan,6030 Sycamore Canyon Blvd,2020,2011,2021,92507,0,36,33.941878,0,1,-117.297603,1
public,Riverside,San Francisco,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Raceway Nissan,6030 Sycamore Canyon Blvd,2020,2011,2021,92507,0,37,33.941878,0,1,-117.297603,1
public,Riverside,Amador,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Raceway Nissan,6030 Sycamore Canyon Blvd,2020,2011,2021,92507,0,38,33.941878,0,1,-117.297603,3
public,Roseville,San Bernardino,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Roseville,600 Automall Dr,2022,2011,2022,95661,1,39,38.752198,0,1,-121.256452,2
public,San Leandro,Humboldt,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,San Leandro Nissan,1152 Marina Blvd,2022,2011,2022,94577,1,40,37.712609,0,2,-122.162746,1
public,San Luis Obispo,Alameda,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,3/7/2022,3,3,3,unknown,FALSE,Coast Nissan,12150 Los Osos Valley Rd,2022,2011,2022,93405,1,41,35.25062,0,4,-120.68455,7
public,Santa Rosa,San Diego,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,3/7/2022,3,3,3,unknown,FALSE,Jim Bone Nissan,1275 Santa Rosa Ave,2022,2011,2022,95404,1,42,38.425537,0,4,-122.714089,2
public,Santa Rosa,Sacramento,3/15/2011,2022-03-07 19:49:53+00:00,7,15,7,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,3/7/2022,3,3,3,unknown,FALSE,Jim Bone Nissan,1275 Santa Rosa Ave,2022,2011,2022,95404,1,43,38.425537,0,4,-122.714089,2
public,Vacaville,San Diego,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Nissan of Vacaville,671 Orange Dr,2020,2011,2021,95687,0,44,38.381441,0,1,-121.941218,3
public,Valencia,Alameda,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Champion Nissan,24111 Creekside Rd,2020,2011,2021,91355,0,45,34.420546,0,3,-118.557774,5
public,Vallejo,San Diego,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-9,6/9/2020,6,3,3,unknown,FALSE,Vallejo Nissan,3287 Sonoma Blvd,2020,2011,2021,94590,0,46,38.118088,0,1,-122.255493,6
public,Victorville,San Diego,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,GPS,6/9/2020,6,3,3,unknown,FALSE,Valley Hi Nissan,15722 Valley Park Ln,2020,2011,2021,92394,0,47,34.517883,0,1,-117.3219,1
public,Aliso Viejo,Los Angeles,3/1/2012,2022-10-21 01:06:32+00:00,21,1,21,J1772,ChargePoint Network,unknown,unknown,GPS,10/21/2022,10,3,10,unknown,unknown,EVSP WALGREENS STORE 11241,26531 Aliso Creek Rd,2022,2012,2022,92656,0,48,33.577103,0,2,-117.723844,1
public,Campbell,Solano,4/1/2012,2022-10-21 01:05:02+00:00,21,1,21,J1772,ChargePoint Network,unknown,unknown,GPS,10/21/2022,10,4,10,unknown,unknown,CITYOF CAMPBELL 2NDST GARAGE UL,41 N 2nd St,2022,2012,2022,95008,0,49,37.287593,0,1,-121.946908,3
public,Campbell,Placer,4/1/2012,2022-10-21 01:05:02+00:00,21,1,21,J1772,ChargePoint Network,unknown,unknown,GPS,10/21/2022,10,4,10,unknown,unknown,CITYOF CAMPBELL 2NDST GARAGE UL,41 N 2nd St,2022,2012,2022,95008,0,50,37.287593,0,1,-121.946908,4
public,Costa Mesa,Ventura,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Costa Mesa Branch",3350 Harbor Blvd,2022,2012,2022,92626,0,51,33.69276,0,2,-117.9183,18
public,Costa Mesa,San Bernardino,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Costa Mesa Branch",3350 Harbor Blvd,2022,2012,2022,92626,0,52,33.69276,0,2,-117.9183,1
public,Costa Mesa,San Mateo,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Costa Mesa Branch",3350 Harbor Blvd,2022,2012,2022,92626,0,53,33.69276,0,2,-117.9183,29
public,Costa Mesa,Santa Clara,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Costa Mesa Branch",3350 Harbor Blvd,2022,2012,2022,92626,0,54,33.69276,0,2,-117.9183,1
public,Los Angeles,Orange,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Los Angeles Branch",2601 S Figueroa St,2022,2012,2022,90007,0,55,34.02828,0,2,-118.2778,8
public,Los Angeles,Los Angeles,4/20/2012,2022-02-10 19:42:29+00:00,10,20,10,J1772,Non-Networked,Free,OFFICE_BLDG,GPS,1/10/2022,1,4,2,unknown,FALSE,"AAA - Auto Club of Southern California, Los Angeles Branch",2601 S Figueroa St,2022,2012,2022,90007,0,56,34.02828,0,2,-118.2778,17
public,Santa Monica,San Benito,5/15/2012,2022-10-21 02:15:34+00:00,21,15,21,J1772,OpConnect,unknown,unknown,GPS,10/21/2022,10,5,10,unknown,unknown,"Enterprise Rent-A-Car, Santa Monica",1719 Wilshire Blvd,2022,2012,2022,90403,0,57,34.029456,2,2,-118.485814,2
public,Torrance,Marin,5/15/2012,2022-10-21 02:15:34+00:00,21,15,21,J1772,OpConnect,unknown,unknown,GPS,10/21/2022,10,5,10,unknown,unknown,"Enterprise Rent-A-Car, Torrance",20625 Hawthorne Blvd,2022,2012,2022,90503,0,58,33.842487,2,2,-118.354006,4
public,Lodi,Los Angeles,7/24/2012,2022-02-10 19:42:29+00:00,4,24,10,J1772,Non-Networked,Free,PARKING_LOT,GPS,8/4/2021,8,7,2,unknown,FALSE,Lodi City Hall,221 W Pine St,2021,2012,2022,95240,0,59,38.13437,0,2,-121.2884,13
public,Lodi,Ventura,7/24/2012,2022-02-10 19:42:29+00:00,4,24,10,J1772,Non-Networked,Free,PARKING_LOT,GPS,8/4/2021,8,7,2,unknown,FALSE,Lodi City Hall,221 W Pine St,2021,2012,2022,95240,0,60,38.13437,0,2,-121.2884,2
public,Ontario,Riverside,6/18/2012,2022-02-10 19:42:29+00:00,14,18,10,J1772,Non-Networked,Free; $21 per day parking fee,AIRPORT,GPS,7/14/2021,7,6,2,unknown,FALSE,Ontario International Airport,Terminal Way,2021,2012,2022,91761,0,61,34.0616,0,6,-117.5935,2
public,Ontario,Los Angeles,6/18/2012,2022-02-10 19:42:29+00:00,14,18,10,J1772,Non-Networked,Free; $21 per day parking fee,AIRPORT,GPS,7/14/2021,7,6,2,unknown,FALSE,Ontario International Airport,Terminal Way,2021,2012,2022,91761,0,62,34.0616,0,6,-117.5935,13
public,Ontario,Alameda,6/18/2012,2022-02-10 19:42:29+00:00,14,18,10,J1772,Non-Networked,Free; $21 per day parking fee,AIRPORT,GPS,7/14/2021,7,6,2,unknown,FALSE,Ontario International Airport,Terminal Way,2021,2012,2022,91761,0,63,34.0616,0,6,-117.5935,9
public,Davis,San Bernardino,8/29/2012,2022-02-10 19:42:29+00:00,9,29,10,J1772,Non-Networked,Free,MUNI_GOV,GPS,12/9/2021,12,8,2,unknown,FALSE,City of Davis - City Hall,23 Russell Blvd,2021,2012,2022,95616,0,64,38.546699,0,2,-121.7461,1
public,Davis,Los Angeles,8/29/2012,2022-02-10 19:42:29+00:00,9,29,10,J1772,Non-Networked,Free,MUNI_GOV,GPS,12/9/2021,12,8,2,unknown,FALSE,City of Davis - City Hall,23 Russell Blvd,2021,2012,2022,95616,0,65,38.546699,0,2,-121.7461,6
public,Salinas,Los Angeles,8/31/2012,2022-10-21 01:07:57+00:00,21,31,21,J1772,ChargePoint Network,unknown,unknown,GPS,10/21/2022,10,8,10,unknown,unknown,HARTNELLCOLLEGE CENTRAL AVE 1,411 Central Ave,2022,2012,2022,93901,0,66,36.673856,0,2,-121.665804,1
public,San Jose,San Bernardino,4/28/2015,2022-04-28 20:01:31+00:00,14,28,28,J1772,Non-Networked,Free,HOTEL,GPS,7/14/2021,7,4,4,unknown,TRUE,Homewood Suites - San Jose Airport,10 W Trimble Rd,2021,2015,2022,95131,0,67,37.38514,0,2,-121.9288,11
public,San Jose,Contra Costa,4/28/2015,2022-04-28 20:01:31+00:00,14,28,28,J1772,Non-Networked,Free,HOTEL,GPS,7/14/2021,7,4,4,unknown,TRUE,Homewood Suites - San Jose Airport,10 W Trimble Rd,2021,2015,2022,95131,0,68,37.38514,0,2,-121.9288,1
public,Vallejo,Sacramento,8/29/2012,2022-08-10 13:32:10+00:00,10,29,10,J1772,Non-Networked,Free,MUNI_GOV,GPS,8/10/2022,8,8,8,unknown,FALSE,Vallejo City Hall,555 Santa Clara St,2022,2012,2022,94590,0,69,38.1022,0,2,-122.261,1
public,San Francisco,Santa Clara,8/1/2011,2022-04-28 20:01:31+00:00,4,1,28,J1772,Non-Networked,Free,HOTEL,200-9,11/4/2021,11,8,4,unknown,TRUE,InterContinental Hotel - San Francisco,888 Howard St,2021,2011,2022,94103,0,70,37.782079,0,2,-122.404764,2
public,San Francisco,Alameda,8/1/2011,2022-04-28 20:01:31+00:00,4,1,28,J1772,Non-Networked,Free,HOTEL,200-9,11/4/2021,11,8,4,unknown,TRUE,InterContinental Hotel - San Francisco,888 Howard St,2021,2011,2022,94103,0,71,37.782079,0,2,-122.404764,4
public,San Francisco,San Luis Obispo,8/1/2011,2022-04-28 20:01:31+00:00,4,1,28,J1772,Non-Networked,Free,HOTEL,200-9,11/4/2021,11,8,4,unknown,TRUE,InterContinental Hotel - San Francisco,888 Howard St,2021,2011,2022,94103,0,72,37.782079,0,2,-122.404764,2
public,Morro Bay,San Francisco,3/25/2013,2022-07-18 13:42:00+00:00,14,25,18,J1772,Non-Networked,$1.20 per hour; $0.35 transaction fee,MUNI_GOV,200-8,1/14/2021,1,3,7,unknown,FALSE,City of Morro Bay - Chamber of Commerce,695 Harbor St,2021,2013,2022,93442,0,73,35.366911,0,1,-120.845475,19
public,Palm Desert,Merced,4/1/2013,2022-02-10 19:42:29+00:00,15,1,10,J1772,Non-Networked,Free,MUNI_GOV,GPS,3/15/2021,3,4,2,unknown,FALSE,City of Palm Desert - City Hall,73510 Fred Waring Dr,2021,2013,2022,92260,0,74,33.730812,0,4,-116.38184,1
public,Palm Desert,Merced,4/1/2013,2022-02-10 19:42:29+00:00,9,1,10,J1772,Non-Networked,Free,MUNI_GOV,GPS,12/9/2021,12,4,2,unknown,FALSE,City of Palm Desert - Park View Building,73710 Fred Waring Dr,2021,2013,2022,92260,0,75,33.729855,0,2,-116.379108,1
public,Costa Mesa,Los Angeles,3/20/2013,2021-03-11 23:22:17+00:00,14,20,11,J1772,Non-Networked,"$1.50 for 1 hour, $2.50 for 2 hours, $5.00 for 4 hours",PLACE_OF_WORSHIP,GPS,1/14/2021,1,3,3,unknown,FALSE,Newport Mesa Church,2599 Newport Blvd,2021,2013,2021,92626,0,76,33.663495,0,2,-117.899372,4
public,Costa Mesa,San Mateo,3/20/2013,2021-03-11 23:22:17+00:00,14,20,11,J1772,Non-Networked,"$1.50 for 1 hour, $2.50 for 2 hours, $5.00 for 4 hours",PLACE_OF_WORSHIP,GPS,1/14/2021,1,3,3,unknown,FALSE,Newport Mesa Church,2599 Newport Blvd,2021,2013,2021,92626,0,77,33.663495,0,2,-117.899372,68
public,Costa Mesa,Santa Clara,3/20/2013,2021-03-11 23:22:17+00:00,14,20,11,J1772,Non-Networked,"$1.50 for 1 hour, $2.50 for 2 hours, $5.00 for 4 hours",PLACE_OF_WORSHIP,GPS,1/14/2021,1,3,3,unknown,FALSE,Newport Mesa Church,2599 Newport Blvd,2021,2013,2021,92626,0,78,33.663495,0,2,-117.899372,6
public,Costa Mesa,Sonoma,3/20/2013,2021-03-11 23:22:17+00:00,14,20,11,J1772,Non-Networked,"$1.50 for 1 hour, $2.50 for 2 hours, $5.00 for 4 hours",PLACE_OF_WORSHIP,GPS,1/14/2021,1,3,3,unknown,FALSE,Newport Mesa Church,2599 Newport Blvd,2021,2013,2021,92626,0,79,33.663495,0,2,-117.899372,2
public,Lodi,Contra Costa,3/19/2013,2022-02-10 19:42:29+00:00,4,19,10,J1772,Non-Networked,Free,OTHER,200-8,8/4/2021,8,3,2,unknown,FALSE,Lodi Animals Service and Shelter,1345 W Kettleman Ln,2021,2013,2022,95242,0,80,38.115528,0,1,-121.288943,4
public,Manhattan Beach,Imperial,3/27/2013,2022-08-10 13:32:10+00:00,10,27,10,J1772,Non-Networked,$0.75 per hour,MUNI_GOV,GPS,8/10/2022,8,3,8,unknown,FALSE,City of Manhattan Beach - City Hall Garage,1400 Highland Ave,2022,2013,2022,90266,0,81,33.886925,0,4,-118.409726,1
public,Palo Alto,Ventura,3/19/2013,2022-02-10 21:00:18+00:00,14,19,10,J1772,Non-Networked,Free,STREET_PARKING,200-9,7/14/2021,7,3,2,SOLAR,FALSE,ProjectGreenHome.org,314 Stanford Ave,2021,2013,2022,94306,0,82,37.430039,0,2,-122.147944,10
public,Palo Alto,Los Angeles,3/19/2013,2022-02-10 21:00:18+00:00,14,19,10,J1772,Non-Networked,Free,STREET_PARKING,200-9,7/14/2021,7,3,2,SOLAR,FALSE,ProjectGreenHome.org,314 Stanford Ave,2021,2013,2022,94306,0,83,37.430039,0,2,-122.147944,12
public,Palo Alto,San Diego,3/19/2013,2022-02-10 21:00:18+00:00,14,19,10,J1772,Non-Networked,Free,STREET_PARKING,200-9,7/14/2021,7,3,2,SOLAR,FALSE,ProjectGreenHome.org,314 Stanford Ave,2021,2013,2022,94306,0,84,37.430039,0,2,-122.147944,1
public,Palo Alto,Ventura,3/19/2013,2022-02-10 19:42:29+00:00,14,19,10,J1772,Non-Networked,Free,PLACE_OF_WORSHIP,200-9,7/14/2021,7,3,2,SOLAR,FALSE,Unitarian Universalist Church,505 E Charleston Rd,2021,2013,2022,94306,0,85,37.419672,0,1,-122.112723,10
public,Palo Alto,Los Angeles,3/19/2013,2022-02-10 19:42:29+00:00,14,19,10,J1772,Non-Networked,Free,PLACE_OF_WORSHIP,200-9,7/14/2021,7,3,2,SOLAR,FALSE,Unitarian Universalist Church,505 E Charleston Rd,2021,2013,2022,94306,0,86,37.419672,0,1,-122.112723,12
